,Solo Auto,Carpool,Public Transit,Walking,Other,Commute All,Commute Auto,Commute Carpool,Commute Public Trans,Commute Walk,Commute Other,State
25,85.4,11.3,0.6,0.6,2.1,23.9,24.0,28.7,42.9,9.8,31.2,Mississippi
4,85.0,12.1,0.6,0.8,1.5,20.9,21.5,24.1,34.2,10.1,25.9,Arkansas
1,87.4,10.1,0.7,0.5,1.3,23.8,24.2,28.2,43.7,10.7,31.2,Alabama
37,85.2,11.5,0.8,0.8,1.7,20.7,21.3,23.7,36.1,10.2,25.6,Oklahoma
35,83.0,13.0,0.8,1.7,1.5,16.3,16.7,23.6,26.4,7.4,20.1,North Dakota
41,86.1,10.6,0.9,0.7,1.7,23.3,24.3,26.4,38.3,8.1,26.3,South Carolina
17,85.0,10.9,0.9,1.2,1.9,18.3,18.9,22.2,34.7,9.2,24.8,Kansas
42,84.1,11.5,1.0,1.8,1.6,16.0,16.9,20.9,28.3,7.6,19.2,South Dakota
19,83.3,11.8,1.2,1.8,1.9,22.5,23.9,27.3,40.8,10.4,27.5,Maine
28,84.7,11.0,1.3,1.3,1.7,17.6,18.2,21.1,34.7,8.5,22.0,Nebraska
43,86.3,10.2,1.3,0.6,1.6,23.8,24.5,27.0,42.0,10.5,30.6,Tennessee
27,79.1,13.7,1.5,2.8,3.0,16.7,17.5,23.6,32.2,9.0,20.4,Montana
48,83.6,12.5,1.5,1.3,1.1,24.8,25.3,32.1,43.0,11.5,23.3,West Virginia
16,84.4,10.4,1.8,1.8,1.6,18.1,18.9,22.4,30.5,9.4,20.3,Iowa
29,86.2,8.8,1.9,1.0,2.0,25.5,27.2,28.1,56.5,9.6,38.9,New Hampshire
18,84.1,11.2,1.9,1.1,1.7,22.3,22.8,26.1,39.4,10.6,28.1,Kentucky
34,84.4,11.1,1.9,0.8,1.8,23.0,23.9,26.8,41.5,10.1,31.9,North Carolina
13,80.8,12.8,2.0,1.5,2.9,19.4,20.0,25.1,54.1,10.5,25.9,Idaho
46,82.5,10.9,2.1,2.8,1.8,21.2,23.1,26.2,35.7,10.5,22.6,Vermont
15,85.6,9.8,2.1,1.0,1.5,22.6,23.3,25.1,45.7,10.9,24.6,Indiana
32,82.1,12.1,2.3,1.1,2.4,20.8,21.2,25.7,42.2,11.0,24.8,New Mexico
20,83.4,10.8,2.3,0.8,2.7,24.5,24.7,28.2,42.7,10.6,33.5,Louisiana
23,85.3,9.6,2.7,1.0,1.4,23.4,24.2,25.8,44.1,11.1,26.4,Michigan
44,82.7,11.6,2.9,0.7,2.2,25.0,25.6,27.9,48.1,11.4,33.0,Texas
26,84.4,10.1,3.0,0.9,1.5,22.4,23.1,25.4,46.0,11.0,27.9,Missouri
36,85.9,8.5,3.1,1.1,1.4,22.5,23.1,24.7,43.3,11.1,28.2,Ohio
51,83.9,9.3,3.4,1.5,1.8,21.0,21.8,24.1,39.2,10.1,23.7,Wisconsin
2,68.2,13.4,3.4,3.7,11.3,18.0,17.9,19.5,40.2,8.5,39.0,Alaska
0,83.7,9.6,3.7,1.4,1.7,28.6,29.2,32.4,48.7,12.2,26.0,Puerto Rico
10,82.4,10.1,3.9,0.7,2.8,25.5,26.4,28.1,49.1,12.8,32.8,Florida
3,78.8,12.7,4.1,1.0,3.3,23.6,24.3,27.6,48.6,12.0,29.9,Arizona
11,82.1,11.1,4.1,0.7,1.9,26.6,27.5,29.6,51.4,12.6,30.7,Georgia
45,76.4,13.8,5.6,1.6,2.6,20.3,20.4,24.8,45.4,13.0,28.7,Utah
9,83.8,8.5,5.6,1.0,1.2,24.6,25.3,26.0,49.0,11.5,25.7,Delaware
6,78.9,10.8,6.0,1.4,2.8,23.4,24.5,27.7,44.6,11.8,29.5,Colorado
40,81.4,9.4,6.2,1.7,1.2,23.7,24.2,25.9,54.9,11.0,22.4,Rhode Island
24,80.7,9.6,6.4,1.3,2.1,22.1,22.9,24.9,39.1,10.3,28.2,Minnesota
47,77.8,11.0,8.2,1.0,2.0,26.9,27.0,32.1,49.6,11.5,31.1,Virginia
30,76.1,11.5,8.6,1.2,2.6,23.1,22.5,25.4,57.2,13.8,28.3,Nevada
38,72.5,12.0,9.0,2.3,4.1,21.9,22.2,25.8,44.4,13.6,26.2,Oregon
5,74.3,12.1,9.6,1.3,2.7,27.2,27.5,31.8,50.6,13.1,28.4,California
39,77.3,9.3,10.1,1.8,1.5,25.5,25.8,28.1,46.4,11.9,27.4,Pennsylvania
49,71.5,11.9,11.8,1.9,2.8,25.6,25.3,30.4,47.6,13.7,35.1,Washington
7,77.3,8.1,11.9,1.4,1.3,24.8,24.5,24.9,60.3,11.7,28.5,Connecticut
12,66.6,15.5,12.8,2.2,2.9,26.1,25.9,29.6,50.4,12.4,22.1,Hawaii
22,72.6,9.6,15.5,1.0,1.4,31.2,30.7,32.8,55.0,12.8,30.9,Maryland
14,71.8,8.4,16.6,1.4,1.8,27.4,26.8,28.7,48.6,12.3,28.6,Illinois
21,70.6,7.8,17.3,2.4,1.9,27.9,27.9,28.9,47.4,13.6,27.4,Massachusetts
31,66.9,7.8,22.4,1.2,1.6,30.1,28.2,29.5,58.8,12.6,26.8,New Jersey
33,44.0,6.3,45.2,2.8,1.7,31.7,26.3,30.2,50.8,14.3,27.5,New York
8,33.8,5.5,47.3,8.1,5.3,28.3,28.2,28.8,37.8,17.4,24.0,District of Columbia
50,,,,,,,,,,,,Wyoming
