,State,Parks,latitude,longitude,Name
0,AK,19,63.588753000000004,-154.493062,Alaska
1,AL,7,32.318231,-86.902298,Alabama
2,AR,7,35.20105,-91.83183299999999,Arkansas
3,AZ,21,34.048928000000004,-111.093731,Arizona
4,CA,30,36.778261,-119.41793200000001,California
5,CO,13,39.550051,-105.782067,Colorado
6,CT,2,41.603221000000005,-73.087749,Connecticut
7,DC,25,38.905985,-77.03341800000001,District of Columbia
8,DE,1,38.910832,-75.52767,Delaware
9,FL,10,27.664827000000002,-81.515754,Florida
10,GA,13,32.157435,-82.907123,Georgia
11,HI,9,19.898682,-155.66585700000002,Hawaii
12,IA,2,41.878003,-93.097702,Iowa
13,ID,5,44.068202,-114.74204099999999,Idaho
14,IL,2,40.633125,-89.398528,Illinois
15,IN,3,40.551217,-85.602364,Indiana
16,KS,5,39.011902,-98.484246,Kansas
17,KY,4,37.839333,-84.27001800000001,Kentucky
18,LA,6,31.244822999999997,-92.14502399999999,Louisiana
19,MA,19,42.407211,-71.382437,Massachusetts
20,MD,22,39.045755,-76.641271,Maryland
21,ME,5,45.253783,-69.44546899999999,Maine
22,MI,7,44.314844,-85.602364,Michigan
23,MN,4,46.729553,-94.6859,Minnesota
24,MO,6,37.964253,-91.83183299999999,Missouri
25,MS,9,32.354668,-89.398528,Mississippi
26,MT,5,46.879682,-110.36256599999999,Montana
27,NC,9,35.759572999999996,-79.0193,North Carolina
28,ND,3,47.551493,-101.002012,North Dakota
29,NE,5,41.492537,-99.901813,Nebraska
30,NH,1,43.193852,-71.572395,New Hampshire
31,NJ,4,40.058324,-74.405661,New Jersey
32,NM,23,34.97273,-105.03236299999999,New Mexico
33,NV,3,38.802609999999994,-116.419389,Nevada
34,NY,29,43.299428000000006,-74.217933,New York
35,OH,11,40.417287,-82.907123,Ohio
36,OK,3,35.007752,-97.092877,Oklahoma
37,OR,4,43.804133,-120.554201,Oregon
38,PA,23,41.203322,-77.194525,Pennsylvania
39,PR,1,18.220833,-66.590149,Puerto Rico
40,RI,2,41.580095,-71.477429,Rhode Island
41,SC,10,33.836081,-81.163725,South Carolina
42,SD,6,43.969515,-99.901813,South Dakota
43,TN,8,35.517491,-86.58044699999999,Tennessee
44,TX,14,31.968598999999998,-99.901813,Texas
45,UT,11,39.32098,-111.093731,Utah
46,VA,25,37.431573,-78.656894,Virginia
47,VT,1,44.558803000000005,-72.577841,Vermont
48,WA,11,47.751073999999996,-120.74013899999999,Washington
49,WI,3,43.784440000000004,-88.787868,Wisconsin
50,WV,8,38.597626,-80.454903,West Virginia
51,WY,5,43.075967999999996,-107.29028400000001,Wyoming
